E1D51D42 9EEE1951 5E590B4A F4228D65
F8AD44D4 91D95C50 E9B228F4 43BA66BF
C632419A 62036F8C F2B32ED0 2411A5B9
7FF00000 00000000 7FF00000 00000001
CD614621 24DFA4B5 796B58F1 06902C84
D8754BAF B35CA135 D69E9E1E 6F267C59
32B4651E 0EAB7968 6F75B47D DF873164
43FDB7B4 3E21A1BA EB7B8401 67FCDD10
7FF00000 00000000 7FF00000 00000000
5A523BEF DBA9E861 B9F7A33F 79C9F380
6A00EB93 5C71E92B 3F661259 3404B47E
7FF00000 00000001 FFF00000 00000000
CB5BE953 4FC188D1 5758320F 99AC630D
6B000237 76DC87F9 7FF00000 00000000
A87286E9 788EE172 63EEA4FE 27B23D9A
6C30C269 7FFE4E05 7B49DD59 3301EEFD
690484DE 0701AA75 EB12F292 FD1B3CBD
EAFC03BD 6B4B6A3E 3E58F6F3 B0FC3747
76A507DF 465ADF18 79DAEE74 D6E19E17
FFF00000 00000000 FA3477A0 EC317F72
E5456BBD C2D9E695 E8839F5B 0BF04E93
7FF00000 00000000 6C94B488 83146C44
5C94F2D7 BEA7E227 A4627ED6 0F69B3FA
F860A9F6 A77A21A2 4D7FAE08 AE47879B
7FF00000 00000000 7FF00000 00000001
48E9E197 A8354ABD 52344CE6 0ED885DA
FFF00000 00000000 7FF00000 00000000
1BC0DA04 9AFD4D93 437EB3F3 5DE8A4B1
7FF00000 00000000 7FF00000 00000000
AFC89DE0 DA8EDBBD BD9EE6CE DBD515BF
FFF00000 00000000 E0658B91 A36C244D
5CB1C71F 1B43AA00 5A32FFBE 608E18E6
FFF00000 00000000 FFF00000 00000000
B785CC77 124435CF 4FB724AD 21F2C77B
F7AD1FE7 5B6C8CC2 47D2BF89 357ECC09
6A924EC3 B29D4FD8 6B1EB9AB D2820AB6
648EC968 0FD7570F 7548D674 D92F4AD6
FFF00000 00000000 7FF00000 00000001
787E7D0A FF3A33FA 77A05F07 1B05E10B
FFF00000 00000000 FFF00000 00000000
F10C8027 C3E396E7 92A90FF7 30DB0FA4
6E8863E4 3B1CE63F D3345CC7 0BBDFEF8
927AA3AC 8551A3D2 4E253AB6 8021910A
BEA47313 EF849797 E0E93A1A 9B37BA60
905DAFE1 19356DE0 6FA31187 FD76EDFB
7FF00000 00000000 F4A194BB 2513DD19
7FF00000 00000001 FFF00000 00000000
6856CFA2 FFEAA75C 40BCE061 B4044BF3
FFF00000 00000000 7FF00000 00000001
7FF00000 00000001 FFF00000 00000000
CCCB3C19 78368E4C 25E30832 475EA014
FB12185D CF706D13 77D53D82 9EDF4B3E
C4A63982 D6E8EDF1 F6230D06 836313DA
FA84363D 62FE9939 623E60B6 9CAB5632
A63C77A6 3CB28CDF D74D431D 0C6B6590
E66A41FE 344A8E83 FFF00000 00000000
673420ED 852CF621 0F6ACAC5 89B89B1A
545F58D2 265DD07F FF72B4B3 D00347C8
5FDEE343 D3980CA5 C1CECAD6 58999B47
2B445023 AA841DA5 6A196DE1 0830CAEC
7FF00000 00000000 7FF00000 00000001
AFD6463F BF6E6829 0D2752A4 2DD7F048
FFF00000 00000000 7FF00000 00000001
717BA836 39C9C879 787BB80B B3AAECC2
C32B1D4C 8AA1C74C 2211C342 2F548F34
7353F231 1F1D978E 910B653C 97E24CC8
6702EBD8 8CF19734 24C163ED 9522B4C0
7FF00000 00000001 7FF00000 00000000
FFF00000 00000000 E1EF7ABF F3E1BFB8
7FF00000 00000000 7FF00000 00000001
7FF00000 00000000 5FC99026 8C3E584F
6D017BDB B1572F6E F3A2E4DE D0FB8282
7FF00000 00000001 7FF00000 00000000
7FF00000 00000000 4BAF2105 2DD8CFC0
DCD376EE 9310B780 32F380FA D7F8053D
F1253734 12EF3DA6 65F59CA5 4210233A
D9B145EA A2718DAD FDDDD7B7 AE421727
7FF00000 00000000 E66B659F F2F54E0D
A22BF7FE 2FA03A8A 2C7B8C35 6E2BA6F4
D3F21694 DFB8523E FC13AA2E 140D2388
75D8FFCD D2D665EB 4CF8868A 34D3FD6C
FFF00000 00000000 7FF00000 00000000
B61F549F 97FA746D 4C0BD468 7ECED90C
597BBCD3 5E500862 C43E6DAA 39826B79
7FF00000 00000000 43F2E7E7 CB9BFBE4
6CFB6E61 ED9D62E0 7A33A58B FEE9DE11
7FF00000 00000000 7FF00000 00000001
773E1758 F21037E7 7BFA724B 5F5BCD15
A8FCB82D FFD33AA5 C5A2B331 0E20BB1E
7FF00000 00000000 7FF00000 00000000
FFF00000 00000000 B85E67F1 E143BCC0
EB2F3FF4 1E2147EA 6E63EB71 713DD61C
9A033F56 E82C8D66 6FDB43DA 6DD052F0
CB2738CD E1671FCF FFF00000 00000000
C30E2C22 9D251E20 434DE00B 6E64D5C2
7FF00000 00000000 7FF00000 00000001
FFF00000 00000000 F01DBC0B EC6681E1
C6376836 4CBA5B83 FAA06082 C3D5C5BC
7FF00000 00000000 7FF00000 00000001
CE4B2C6C BDE42A30 73934CC1 7A067B5B
607BDE7D B2223A7F F5C2221B BCB4CABF
CF613BFB B9E7E28F CBB0D796 834B880D
FFF00000 00000000 7FF00000 00000000
74B684AD B064C688 FE367BC5 4DB1731C
FFA1D529 F60DC194 77A3EA6E 0F8C0358
2DB7621D 6F63A868 DA03ED1C 6C15A13D
D6DC881D C1CD79A2 BD417D85 F9F9E78D
F3EE75C8 619DAE17 1B4A00E0 BE6A7E70
7FF00000 00000000 7D114850 5B056653
50C4E8FC 8A74954B 74D414BD 84947649
EB43478B 8B79630C 3CD3A7A8 E909DCED
ECC4586D C3C6C2EF FFF00000 00000000
7FF00000 00000000 7FF00000 00000001
7FF00000 00000001 7FF00000 00000001
DF876204 CE8877EC 4794E8C6 0489EC29
7384C815 4009C13A 72713412 B10A82F1
8ADF980A 42D1CC8F FE2E5275 60B09CDA
DFF63DF1 25C6F9B1 4F92AC05 1F68F890
7D210912 FFD75D7C DDAFFB58 D44EE12C
030CCB0F 62AB3CBB 431D6D9B 549B8515
3122C660 52C96B20 7993F120 8C29DF51
7FF00000 00000000 F461937E 648E81D4
F04040D4 FACB2792 542075CF 3BEE4831
F9D7B71E E5C782BE 39A75B10 A3FFFB94
FF5F6C72 C5299CA9 7FF00000 00000000
C1D648DF CCAA6C93 E1807091 8ACF82FB
FF2A0E4A EDA21625 E7E507BB B9AA9927
F7E42EDA 58E7B952 7FF00000 00000000
7FF00000 00000001 FFF00000 00000000
E6E92B89 FD600FAC 24A90694 06243FBD
7FF00000 00000001 7FF00000 00000000
BAF96F96 14925F73 6363BA2D F704439F
99FE4F65 AC691770 F89832A2 18C344EC
F699B2E6 D642F547 ED8B3EE2 506547E9
7FF00000 00000001 FFF00000 00000000
7FF00000 00000000 7FF00000 00000000
A674807C F044484B 62C4A580 5422A8CF
FFF00000 00000000 DFC9F3B2 31896268
D5B4902C 7C4A2AF9 BF1BA70F 2A18E7D2
7E036531 8ECEB0B0 BB2FF8B8 45C60326
E7F98AA5 4DAC0659 7FF00000 00000000
7FF00000 00000000 79AC070D 304FEDCC
FAC0F48D 4DE4D544 E943E942 09E8925C
E9F667BC 0F648014 F4716A85 E1D4D23C
F62B1450 AAC4EF72 4686ACAC 6A937B6B
BABF1C54 598D4AD5 D666B48F C09000B8
F5228738 4BE3627B 345738F4 FC079CFC
7FF00000 00000000 7FF00000 00000001
FFF00000 00000000 747B22CD 32173C6F
7FF00000 00000000 7FF00000 00000001
D0F55490 83CC863D 6ADC7FAB DB432619
7FF00000 00000001 7FF00000 00000000
EDB11294 388DD20C FFF00000 00000000
7FF00000 00000001 7FF00000 00000001
7FF00000 00000001 FFF00000 00000000
FFF00000 00000000 7FF00000 00000001
ED2CDD08 2C74A336 BF70E855 42FB1E99
7309CFDE 1E283D63 1D87C7A9 EAA94802
596D2672 561D7FB5 58BBF2E8 EAA6ADF8
424000A1 60CB568C 63D2D5B6 E3730FEC
5062AE75 78B13687 A9243B94 B0716506
DFC16BCF 82EFEB16 58BAA1E6 33A4D907
CE5067F9 7FC1A0CD FFF00000 00000000
7FF00000 00000000 56F18BCA E1820EDF
E62296D8 B72BD3C4 66E443B3 5B7FFF08
7C0AA20F CDE4AE28 96010DDC 59F3A4E9
FFF00000 00000000 7FF00000 00000000
FFF00000 00000000 7FF00000 00000001
F20EF0C3 8C02D04E F2D8E1C2 C5A19E65
BF808EFB DE606127 D76CEB86 B74AC67D
7DFF1852 2345BD9A 7FF00000 00000000
7FF00000 00000001 7FF00000 00000000
7549F3AD 24857543 BF8F3166 1670ABE8
B0BF6077 B9662277 7A6B3A24 9B0D4A01
B555559B D8CE9DE1 F08D6167 E3423569
D89629FE 08C7DD3D CA7C99F5 D3D930DE
D3F79CC2 28A6F026 567136DA 03E2AD78
5A0CADBB 5E755B3A 4C741392 EAAD18A3
FF37F3BB 1A15422C 73FC9D77 07F64A55
7FF00000 00000000 7DE17F52 0190B140
7957CEDB C2603F62 6E087DC1 00894E0B
FFF00000 00000000 FFF00000 00000000
FFF00000 00000000 7562C64F 9FDA3EF0
44D20A43 B36DE0CE 250E8250 D7A8DEF4
BAFB72C9 B562FA29 1DB486F2 C063D02F
82F5F27E 118AD532 76AA6F7D 687138D0
5B2C0ADB 73A27CAF 5937401E 35E64349
FFF00000 00000000 7FF00000 00000001
6963A0B1 9C0BFAD1 E4B25D09 EE790A82
EF91A86E D3C56DEB 46256E3A 6BE802B9
70F8949D A707E8E1 5AB9FE9E EACCDB08
F97F5B15 286CE3F0 7FF00000 00000000
315ECDC6 2D07B6A4 52B364D9 FBF7264D
D752A202 AF8A3DE4 685D8DE4 575A2543
7FF00000 00000001 7FF00000 00000000
7FF00000 00000001 FFF00000 00000000
FA88AF8A 487B7BC8 08DB3B79 563D33D2
AD7BF165 477F6BD5 45973EDC 4CDF8DDD
4BBC42C8 EA2D73AB 2A43918E 1D90C020
68D37B2F 2F454CCC EE8AB847 53F6ED37
7B87E22B 3349DDF4 7DF593DF CE5C76C1
FFF00000 00000000 7FF00000 00000001
FFF00000 00000000 7FF00000 00000001
7FF00000 00000001 7FF00000 00000001
A8AEA31D 6945D0A7 39A0EA60 CA969320
7FF00000 00000001 7FF00000 00000001
4886C2A1 8C64B14C 65970068 4F575AA4
CA154FFA DA83AB55 F3E01825 9D97F039
EEEB6CD2 72C2A867 70713B18 017F974C
5AD7C888 56E03F3D D6E5A77B A2D7B550
3EA4308C 4B9031E9 6B1227D4 32C7EA0C
7FF00000 00000001 7FF00000 00000000
7FF00000 00000001 7FF00000 00000000
7FF00000 00000000 FFF00000 00000000
7CA04057 FB95A8D5 757B8EAA 2C42C46B
B9F7D1E6 DC35A8D4 244662F7 DB1CCDF8
F23D9C90 7267D224 0FF09B8E 1BB67DA7
7FF00000 00000000 7FF00000 00000001
347CF350 61628AFB EDEE3EDE 462DE74A
4FC7C0E9 019A22FD 2152E900 737FEE11
FFF00000 00000000 FFF00000 00000000
74F79D06 702DF2D0 4A17C2DF ABE19C0B
92770E5A E9729CF5 6DCCC36D A4568A02
7FF00000 00000001 FFF00000 00000000
7FF00000 00000001 7FF00000 00000000
52E6B1E3 CC8D2E7D EDF666FA 68430F54
D72CD42A 42B59D5F 99050DCF 5BB54A84
AEE28BFD B7402C77 BD76A64F F452AA8C
F2C93100 C0617E10 8CB8A8ED CBDE67DF
D1F2B7CD 5B6E5ED2 6DE4D763 0186A4C3
4F486C29 04895110 5C8F59A1 BC184B7F
7FF00000 00000001 7FF00000 00000000
D699C7F2 2DBFCE3B 6D81BE96 D40CDECB
7FF00000 00000001 7FF00000 00000000
6AD7C345 2564F190 F9706BA8 8721B73E
AF4D59DF ED1B611F D01F987B 37BDDDE3
7FF00000 00000000 7FF00000 00000001
F62367F6 659087D3 BB1912B8 5DFCB391
FB93FE59 1D73E927 F724C40D 56CAE93E
7FF00000 00000001 FFF00000 00000000
675B31B0 CCF75290 70723E38 9F924AF3
7FF00000 00000001 FFF00000 00000000
F408373B B8EF1757 1F6F603D B6622648
FFF00000 00000000 FFF00000 00000000
E3E12FEE 05541A09 3373B7A5 4C3C4875
759DC5FD 05A1F920 5805C0E9 FFD1DBDC
F6415965 10755F5B 7442442C B6678DA7
7FF00000 00000000 EEFA83B1 8593945D
94055115 EC9F4F3F 4F99E7F2 4BD9CD69
E1F79BA8 DE80E5AA 4000974B 710E024A
B17407D0 BCCFD4E8 4BD6DBE2 FA67B071
7FF00000 00000001 7FF00000 00000000
FFF00000 00000000 79C6D09F EB6BA27F
D79B27F1 A8170A83 66C29493 E4532F3E
73E40510 88B2FB7C 857BA526 18EA061A
58C51BD1 740F55B0 F2F2BE0F 5272F496
C7D68ECA F3B1D0A4 3CBE697C DDE3858C
FC2A5219 60754214 6CB7E4F5 FC2140BD
7213A6C4 784F85EC D28562A6 369D4B6F
89027AF6 B3885E1C 71A263A9 00CEFAF4
54ACA209 53AEA3AA D3DCC262 03B79AC9
7FC35838 C8BA6C21 CB1C41FD DBC3C1D7
FFF00000 00000000 FFF00000 00000000
C7ABC01D AE6835C5 DCE49895 EB203461
4F2E9361 AA60092B E9467494 E1E9DCFA
4FD4AAD6 BD650015 DCEDAB82 F8D1D820
6AA0B784 8FFF3914 DE990441 BA456008
7FF00000 00000000 7FF00000 00000001
D9164007 0E0F0B5E 7F41455F E1146AE3
7FF00000 00000000 7FF00000 00000001
7FF00000 00000001 7FF00000 00000000
7FF00000 00000001 7FF00000 00000000
2A6BA1A8 E6B52CF7 D2D0473D B6CB8059
B8DA83F6 2F693DB5 7FF00000 00000000
FFF00000 00000000 7FF00000 00000000
4C4FABEB 8CE9D03B D4AE1173 F307B583
D5EA152A A03BE28A 7A789C12 195F8CEA
6B08B8AF 34F57C26 6AB98A64 8D6B52B1
3E284604 F2D9196F C945C58D 79F6FBBD
518F3617 7DAF34C2 C43A290A 825D71D8
B714455C 89719F7D 9E23D818 7D1EEA63
FFB56D43 F846F388 43D2B3AC 498291DA
3C6C10DF 49382AF5 E33D97AA 5F60CAA0
7FF00000 00000000 D15AB101 8647847D
F809C94D 086871E0 EBA9A82B F2A24E24
B88DB617 556E6065 3C5E222A 806596FB
39DC9A45 40000000 65D34949 639E3D87
B4464655 1CFE08EB FDE77BFB E554041E
74B6CD0C 5C74B6C5 6CD6690C 16FF02B4
FFF00000 00000000 E3B36CDE AFD5D40F
7FF00000 00000000 FFF00000 00000000
CF62BFF9 175792C0 7FF00000 00000000
7F6B43A6 0BE78447 6EDE1C24 9BB3972B
7FF00000 00000000 EC4DAB16 B1684198
7B5CA5B6 A46A86D1 761504FB E1E5E7C1
591BD332 4A154ABD 7FF00000 00000000
CD3740B1 383E52FA BFA4832D E2E579AD
7FF00000 00000000 7FF00000 00000001
7FF00000 00000001 7FF00000 00000001
EDAB308E 50F502EB FFF00000 00000000
D6C11FD3 49ACCF98 0EF6D050 E8502341
CFB48482 4361DB8E 6B1D5239 EE279D5E
EA58BBE8 050F3D8F 5DB3B8E7 5B2E86BC
C0A59412 12140CE2 293AF717 EC6CDAB9
DD461F76 7AD4D73F 3A325CB3 0F1FC6C7
E7835D7F FDDF343A B9188673 3A052684
7FF00000 00000001 FFF00000 00000000
C54B510A 85B9DD51 677AE51E 11A8D2C3
5CE07164 425BF9C6 F40BFF70 73A3BA53
CE149B3A CD010E40 CD349E3A 7F7F0000
C7B15E5E 89D4FBC5 2516DAB9 818A5A8A
CA60CB32 46F1CA6C F42F2B6E 1B60EA23
F901BD06 188719C3 5459D9B1 DE04562C
CC08E2AB 222C87AB 4832E104 1E7EC926
7A82BFEB 3DA4A86B 1226CCE1 3DDD3EB2
BD9190D3 1F965749 C544803C 7C36B8B9
FFF00000 00000000 FFF00000 00000000
C5A4C1EA EE228ECD ECB83BF8 F005B7E4
A447DD8C 10A67E36 2692DAE9 250499B9
47A6DEB6 71C0C60C 5B1C307B 1FE7BD8F
C81EEC0A E3399E23 68B29E34 BDB1B40B
D2DA96B4 A1E7FB2F 5905A387 AFCBD0E4
5257ABFA F62B870B 4FDE5F8C E3FC4349
D042C6F6 E32CA450 7EA64D17 038AAA54
29AD42D6 93FC3271 6144A9C2 3BF889D1
7FF00000 00000000 7FF00000 00000001
5A93FCF5 9B3438C3 FFF00000 00000000
D1CCFB6B C6066E25 7DA13E26 D82D2EE8
EC69D86A 95F83764 536EF965 11BCA9EF
D08C961B 2BC507EB 5E38AB4C D310DCF4
ED86F58F 8A02B331 FE2A880C AA07590A
F93064DB 9FE3C53C 2ADED3AE DA077151
4D407FDE 92C1E1CE DC7EACC0 466FBC30
6701C959 3A7F079A 5617E907 038E6B2A
4CBACB43 68960FA0 FFF00000 00000000
E561E62A D03B2B75 FC497EB9 CEC27C37
FF90239B CA094591 D9B9BB23 797B6B03
EFB3464E 40303BAB FAA3E75F 7013F891
5587370E D3729C65 E67755A1 182975FD
E63E9D5F 473FD9CC 56080EB4 5A978AA8
FFF00000 00000000 7FF00000 00000001
7FF00000 00000001 FFF00000 00000000
D2D3FEE1 98B9D51F 3494034F 4CC905E6
DA8BB650 7DE26ABC 40127929 C672C9D2
F664BB02 097EED1C AC038E92 1E3739A6
7D65FF1D 78434E8A 401C7776 D16A9B5B
9B1D3E78 59624F08 B50B9ABF 4CDCFC79
369F4C2E C65551C3 A38E0958 8FF35069
FFF00000 00000000 55F6D7FC 1A7E1119
7FF00000 00000000 7FF00000 00000001
FFF00000 00000000 FFF00000 00000000
B81CFBD9 8E7C1E98 C0D564C4 7D77AD9F
4F495D2C B4B3968D AAD9A7D8 C86E682D
FFF00000 00000000 D24710D2 8E63321E
7FF00000 00000001 7FF00000 00000001
3FCD6BF8 0E22C7C1 E8D22626 6215B0AA
18288302 F0E1D19C DE917F2E 1ADF3F5B
49BA486F 054D84C9 575580BD 030C2CDC
1F9C13E3 158C2D14 1EB8D3BF 790B4283
168BECC8 FBDA7F08 E7572C3D E3AE6F89
F08E6F2B 4A0BDFD1 46583A74 B5FF9F3E
7FF00000 00000001 7FF00000 00000001
FFF00000 00000000 7FF00000 00000000
F801BCB5 288C33F5 79F1FCAC 3670A5EB
2E3F4491 D14137EE 128AB4F6 3CF187E9
78E27842 F10C0B01 FA981A8C 16333741
7FF00000 00000001 7FF00000 00000000
E49EB7EE 6844242F FFB12515 55C6AE23
74662901 A138A491 7FF00000 00000000
FF151E46 C16EABBF 7ABF69AF 03E41D91
D90204DB B1B1076B 0E506608 D546646E
DDDCB29E F2F19D05 ADDF7AB4 9147C75A
B8610FC4 4F1DBBE2 4AE1B8CB 03779368
7FF00000 00000001 FFF00000 00000000
A619C423 A2DC74D8 58C51CF2 CF57C589
3799637B F9000000 7D25B27D 850F4D0A
7FF00000 00000001 7FF00000 00000000
EC095AFF EA55877F 27C755AC 6753A66D
FFF00000 00000000 7FF00000 00000001
FB05E011 E00705B2 91524430 713077F4
FFF00000 00000000 7FF00000 00000001
156729C3 2BD9D281 2C907AA6 F1DC1AA4
6D969AAF E9A7E823 FDCE7D09 873ECCBB
DADFDE00 5AFDF1ED 50A872D2 466C4CE0
49CDD199 FC329820 4AC4021F 499C4B88
87EBCE56 8EA3AADD 2EBD5990 5DFDDABF
2ABDC65F 68190892 D5E3FEA5 BC2BB5D8
EA6C130F 5F7DB335 C8A94C18 EBA9BD3E
EE689A99 CD7B7E39 B57B7129 C2C8852B
7FF00000 00000001 7FF00000 00000000
3204250F BBEDB686 B096CA30 63E30474
FC8635CC 05F9CAAD C74BC24A F84C179B
418A5018 6550E779 D0662E0B BD1C16C1
EC3636EA 651001B4 B03A6B56 5610DED6
F810F281 7AE04FE3 3ECF0A6F 0FA37D04
C5B91468 BB26A575 721EF273 967661C9
FA07B6B8 15692BB7 4E3A10D9 EE76A3A5
5C4384BC 9139E749 D591E51C 9DEE2B26
EF566192 995FA401 4544AEE6 6143DD0B
ECC004BD 79D566D8 5101977E DC314C3D
A6E00208 E7FE6156 B0DECCE8 ACF87AF4
B26CD0E0 7C698220 7FF00000 00000000
563CCE6F 721872F7 C552CA0D 016B8C67
7AAE63FD D63DF481 48B05914 CF1EB2C2
EB90C1D8 A5D6DF9C 57D2C3E6 8E195DC7
5A3FCF52 111FAF16 EB0691F5 7FF79B1C
74FCB6F9 4E6BAB60 AF090E3A 170A7FC2
5811FC19 3CEF56D9 09FA8077 8F89E093
262AE048 62CBFDF7 4C9089E3 E4A87372
E97D974B D4843D81 2E326755 A7975F26
7FF00000 00000000 7FF00000 00000000
FFF00000 00000000 65897DD9 96A96057
7FF00000 00000001 FFF00000 00000000
7FF00000 00000001 FFF00000 00000000
F49B5CC2 078EFEC5 52F232CB 1283774A
7FF00000 00000000 E5E3A61B E14BB503
BCF7E0D0 27B13F18 EEB25834 2F7AF1CA
7FF00000 00000001 FFF00000 00000000
7FF00000 00000001 7FF00000 00000000
43E9A2BB AA563D5C C881D4C4 136E2DC3
F34E46E0 29A0D3DE 77225637 E2D88CF1
6E909251 51DDA32B 59285B3D FBBA6F29
75291A7E FF4F18A0 F579340F BF7D6AC1
7FF00000 00000000 FFF00000 00000000
FFF00000 00000000 CAA4EC23 854A2FAF
6E7C0668 00A2E202 C4E91A78 C5E5090C
6838108C 43DD66E0 E2823459 D4BDB24F
7FF00000 00000000 7FF00000 00000001
7FF00000 00000000 7FF00000 00000000
7FF00000 00000000 7FF00000 00000001
FFF00000 00000000 7A0430A1 3FD773C4
7FF00000 00000001 7FF00000 00000000
7FF00000 00000000 7FF00000 00000001
FFF00000 00000000 FFF00000 00000000
D3CE65F7 1901E7EA 60185EEE A66AB9F4
6C788E20 D858A34D 71820AC4 B9E195A1
DB042BC3 457B3B27 565F4F67 9763710B
C16AEABC 52EDEE3B D4D1D5A7 312A9518
FFF00000 00000000 E6806B55 44BC0315
7848E133 66BB8AB0 F6B1E73F 6591CF59
6B2D2CC8 DB4F294F 62170751 14934F69
135EB59D 2882433D D9A31659 5095217E
D46EF559 EE3887C8 D5BD2860 5942667F
7FF00000 00000001 FFF00000 00000000
7FF00000 00000000 7FF00000 00000000
7FF00000 00000001 7FF00000 00000000
C45E4902 77AADD56 AD5A2A78 893D9692
FFF00000 00000000 7FF00000 00000001
E36B886E 272B2CA2 6BCE035F 529E9242
EF7E7780 3BDFF9DE 47288FBB 5124DD47
DF15216E 53687A5F 7EAA0AC7 77AD30C2
F9409331 5BE9F03E 3EC6F3CE 9F64F648
48229932 148A2205 79D80527 BD83AC83
DD516689 EAE9FC40 F178F126 97F4D699
935318ED DBDFC8C6 470556E2 4D6FC780
7FF00000 00000001 7FF00000 00000001
EE69B177 1F526DF1 EFD38D2D 5FF85AB2
F6AA806E 1D2733AF F8178E97 A3A6822F
7FF00000 00000001 FFF00000 00000000
73D2E1FF AFCF0812 4E25ECB6 7BE79656
55B212E5 A1185B0A 4C8BC492 F9206059
71D0FB30 A807B622 7FF00000 00000000
CFF01BB7 45125E9D FFF00000 00000000
293DC413 F13048FA E2144630 AA107831
7FF00000 00000001 7FF00000 00000000
D3187712 B9B4AF08 67BC083F 5AA57526
D061556E EBA98552 7AB217D7 A3DBA57A
0E869185 D3DA3DD6 EA7EB57C 14DC85C5
FFF00000 00000000 FFF00000 00000000
7FF00000 00000000 7FF00000 00000001
E105368E 599DE25F 83544D75 2CA2952C
E6483513 496E2477 F01D59F0 4458D9A1
F7A8E9BD 41214EB0 5E76937B A9F6EFD5
DD7252CC 87B1B7DC 7FF00000 00000000
7FF00000 00000000 7FF00000 00000001
DA59E339 0CDAF79A D8F8D2E4 F2800000
7FF00000 00000000 FC4A10ED 289D8A10
7FF00000 00000001 7FF00000 00000000
FBEF33B6 5B2B8EF9 B0149925 7F7C4B32
7FF00000 00000001 FFF00000 00000000
31DCCDAB E7C1EF27 EB5A612D E4EA48CF
D0ACFB1B 86089F78 C3220CDF CD168599
57F4AD70 731C77E3 70A48542 56F78195
FAC6B8B7 7A435B0E 2BE26155 2671CDFE
5DFAF68F 1024E3EF DDDEB459 7B6FA212
7FF00000 00000000 DD12E5CD 548728FF
A3CBDEF0 8B28C172 B7C834D0 78ECBF84
2234E5D8 1C3C2692 DEB9F159 9D0DC340
45E81877 5EF54768 ED67D6BD 6C49E9C8
FB2247B2 FBAB1E6C CE6C8376 9E44EC80
BABE2278 E57D84EB 4245BE0D 7B1C297E
EBBBC3D7 5C51A1FF 6BBCEB07 7C70F081
7CF05F84 3F828FFD 7FF00000 00000000
7FF00000 00000001 7FF00000 00000000
A3CEB219 73EC888A EA26F48C F8E88C4C
7FF00000 00000000 7FF00000 00000000
7FF00000 00000001 7FF00000 00000000
574C6490 ABAB69AF 5E6F2F6B D7762148
F8754455 94346400 72B2EFE0 4E87EC04
FF3606AA 0B0BF4C9 BB129370 8EB8044B
FFF00000 00000000 7FF00000 00000000
5B574095 E8250000 64245296 0826B1A3
75E76BDF 20656222 ECA5445D EDC82B13
D5703D76 DCBA8A1C 58B59344 9B1B09D4
FFF00000 00000000 66D60970 965CAAE5
D3F720F9 323CEFA8 F1F84863 C36596E9
D5D29C66 E85D1D28 159923D5 956DEC23
5CA91271 861CA299 F7082485 4AE707EE
6E7AC0B8 79DD1991 04B5466E CD35C4EB
D4082E07 0C61B9AD EEDAFDFB 1131DDD6
FFF00000 00000000 7FF00000 00000001
4287094A B66C4775 4C888B37 CE5F5EB5
7FF00000 00000000 7FF00000 00000001
FFF00000 00000000 B905A924 00B7147E
DCD394D7 68081584 BC0761EE E47CF24A
F58AD765 4F91EC95 68BBB3CE 9F2AF49E
F9513F96 D8C76C98 E12BBD30 A767E845
D66241CB 0DAE30F7 B40A60FC 15B0F45D
7FF00000 00000000 E4C083F1 2979F177
FFD2C155 9C92EAB8 7FF00000 00000000
FFF00000 00000000 6409294D 868BA389
62EF9DB4 B4627BF7 FD370CF0 9CCA85E8
08C45AA6 437B8ACE F09E4591 AD3A305E
4E3670AE A6B0E3C9 68F0CA6F 4999C5E0
